word,kind,en,ru
"sufficient","ok","We have sufficient resources for the task.","У нас достаточно ресурсов для этой задачи."
"sufficient","alt_ok","The evidence was sufficient to proceed.","Доказательств было достаточно, чтобы продолжить."
"sufficient","bad","We have suficient resources.","«Suficient». (ошибка)"
"sustainable","ok","We need sustainable development.","Нам нужно устойчивое развитие."
"sustainable","alt_ok","The company follows sustainable practices.","Компания придерживается устойчивых практик."
"sustainable","bad","We need sustanable development.","«Sustanable». (ошибка)"
"tedious","ok","The process was long and tedious.","Процесс был долгим и утомительным."
"tedious","alt_ok","Filling out the forms is tedious work.","Заполнение форм — скучная работа."
"tedious","bad","The process was tedius and slow.","«Tedius». (ошибка)"
"transparent","ok","We strive to be transparent about our policies.","Мы стремимся быть прозрачными в нашей политике."
"transparent","alt_ok","The glass walls are completely transparent.","Стеклянные стены полностью прозрачные."
"transparent","bad","We strive to be transperent about our policies.","«Transperent». (ошибка)"
"unprecedented","ok","Such growth is unprecedented in history.","Такой рост беспрецедентен в истории."
"unprecedented","alt_ok","They achieved unprecedented success.","Они добились беспрецедентного успеха."
"unprecedented","bad","Such growth is unpresidented in history.","«Unpresidented». (ошибка)"
"versatile","ok","She is a versatile musician.","Она разносторонняя музыкантка."
"versatile","alt_ok","The tool is versatile and easy to use.","Инструмент универсален и прост в использовании."
"versatile","bad","She is a versitile musician.","«Versitile». (ошибка)"
"vigorous","ok","He gave a vigorous performance.","Он выступил энергично."
"vigorous","alt_ok","They led a vigorous debate.","Они провели энергичные дебаты."
"vigorous","bad","He gave a vigourous performance.","«Vigourous». (ошибка)"
"vulnerable","ok","Children are particularly vulnerable to disease.","Дети особенно уязвимы к болезням."
"vulnerable","alt_ok","He felt vulnerable after the loss.","Он чувствовал себя уязвимым после потери."
"vulnerable","bad","Children are vulnarable to disease.","«Vulnarable». (ошибка)"
"wholesome","ok","She follows a wholesome diet.","Она придерживается здорового питания."
"wholesome","alt_ok","Wholesome entertainment benefits children.","Полезные развлечения идут детям на пользу."
"wholesome","bad","She follows a wholsome diet.","«Wholsome». (ошибка)"
"worthwhile","ok","It was a worthwhile investment.","Это было стоящее вложение."
"worthwhile","alt_ok","Volunteering is always worthwhile.","Волонтёрство всегда стоит того."
"worthwhile","bad","It was a worthwile investment.","«Worthwile». (ошибка)"

